r [m],m,root_index,omega_real [rad/s],omega_imag [rad/s],omega_hat_real,omega_hat_imag,is_real
500000.0,-16,4,-3.743714808382509e-07,3.062289566539574e-05,-0.0037437148083825094,0.3062289566539574,0
500000.0,-16,5,1.067469689971809e-05,0.0,0.1067469689971809,0.0,1
500000.0,-16,6,8.932632749426104e-05,0.0,0.8932632749426105,0.0,1
500000.0,-16,7,0.0023122264527756023,0.0,23.122264527756023,0.0,1
500000.0,-15,0,-0.002187044114361578,0.0,-21.87044114361578,0.0,1
500000.0,-15,1,-8.969142517960719e-05,0.0,-0.8969142517960719,0.0,1
500000.0,-15,2,-1.0309769760826233e-05,0.0,-0.10309769760826233,0.0,1
500000.0,-15,3,-3.9205471096096164e-07,-3.0619651711356606e-05,-0.0039205471096096164,-0.30619651711356605,0
500000.0,-15,4,-3.9205471096096164e-07,3.0619651711356606e-05,-0.0039205471096096164,0.30619651711356605,0
500000.0,-15,5,1.0683165958046746e-05,0.0,0.10683165958046746,0.0,1
500000.0,-15,6,8.93179561813691e-05,0.0,0.893179561813691,0.0,1
500000.0,-15,7,0.0021878282965845175,0.0,21.878282965845177,0.0,1
500000.0,-14,0,-0.0020638587391122428,0.0,-20.638587391122428,0.0,1
500000.0,-14,1,-8.970052682123174e-05,0.0,-0.8970052682123174,0.0,1
500000.0,-14,2,-1.0300788225398405e-05,0.0,-0.10300788225398405,0.0,1
500000.0,-14,3,-4.109121638122625e-07,-3.0615839065306646e-05,-0.0041091216381226245,-0.30615839065306644,0
500000.0,-14,4,-4.109121638122625e-07,3.0615839065306646e-05,-0.0041091216381226245,0.30615839065306644,0
500000.0,-14,5,1.069220384177016e-05,0.0,0.10692203841770159,0.0,1
500000.0,-14,6,8.930902733755801e-05,0.0,0.8930902733755801,0.0,1
500000.0,-14,7,0.0020646806473071694,0.0,20.646806473071695,0.0,1
500000.0,-13,0,-0.0019421592206420003,0.0,-19.42159220642,0.0,1
500000.0,-13,1,-8.971018187395575e-05,0.0,-0.8971018187395575,0.0,1
500000.0,-13,2,-1.0291267008245993e-05,0.0,-0.10291267008245994,0.0,1
500000.0,-13,3,-4.308913033127526e-07,-3.0611329251183266e-05,-0.004308913033127526,-0.30611329251183267,0
500000.0,-13,4,-4.308913033127526e-07,3.0611329251183266e-05,-0.004308913033127526,0.30611329251183267,0
500000.0,-13,5,1.0701787621651489e-05,0.0,0.10701787621651489,0.0,1
500000.0,-13,6,8.929956449023946e-05,0.0,0.8929956449023947,0.0,1
500000.0,-13,7,0.0019430211000189368,0.0,19.430211000189367,0.0,1
500000.0,-12,0,-0.0018222435416184646,0.0,-18.222435416184645,0.0,1
500000.0,-12,1,-8.972031778643928e-05,0.0,-0.8972031778643929,0.0,1
500000.0,-12,2,-1.0281278737270765e-05,0.0,-0.10281278737270765,0.0,1
500000.0,-12,3,-4.5183439683694076e-07,-3.060596070664426e-05,-0.004518343968369407,-0.3060596070664426,0
500000.0,-12,4,-4.5183439683694076e-07,3.060596070664426e-05,-0.004518343968369407,0.3060596070664426,0
500000.0,-12,5,1.0711844626259995e-05,0.0,0.10711844626259995,0.0,1
500000.0,-12,6,8.92896402303118e-05,0.0,0.8928964023031181,0.0,1
500000.0,-12,7,0.0018231473220792767,0.0,18.23147322079277,0.0,1
500000.0,-11,0,-0.00170448859977167,0.0,-17.044885997716698,0.0,1
500000.0,-11,1,-8.973077871080448e-05,0.0,-0.8973077871080448,0.0,1
500000.0,-11,2,-1.0270977882629123e-05,0.0,-0.10270977882629123,0.0,1
500000.0,-11,3,-4.734098393217937e-07,-3.059953101590885e-05,-0.004734098393217937,-0.30599531015908854,0
500000.0,-11,4,-4.734098393217937e-07,3.059953101590885e-05,-0.004734098393217937,0.30599531015908854,0
500000.0,-11,5,1.0722219648200427e-05,0.0,0.10722219648200428,0.0,1
500000.0,-11,6,8.92794083822189e-05,0.0,0.8927940838221889,0.0,1
500000.0,-11,7,0.0017054355480133276,0.0,17.054355480133275,0.0,1
500000.0,-10,0,-0.0015893752395917692,0.0,-15.893752395917693,0.0,1
500000.0,-10,1,-8.974127313492321e-05,0.0,-0.8974127313492322,0.0,1
500000.0,-10,2,-1.0260651919892935e-05,0.0,-0.10260651919892935,0.0,1
500000.0,-10,3,-4.950041628926091e-07,-3.059178924370427e-05,-0.004950041628926091,-0.3059178924370427,0
500000.0,-10,4,-4.950041628926091e-07,3.059178924370427e-05,-0.004950041628926091,0.3059178924370427,0
500000.0,-10,5,1.0732623228407104e-05,0.0,0.10732623228407104,0.0,1
500000.0,-10,6,8.926915468620378e-05,0.0,0.8926915468620378,0.0,1
