m,root_index,real_omega,imag_omega,real_omega_over_Omega,imag_omega_over_Omega,abs_residual,normalized_residual,root_class
12,3,-9.100026776969759898e-05,0.000000000000000000e+00,-1.820005355393951918e+00,0.000000000000000000e+00,1.153094842286815414e-45,5.193077502045687403e-30,real_negative
12,4,7.361560611754158653e-07,2.814294386085775703e-05,1.472312122350831649e-02,5.628588772171551069e-01,2.961311368614051244e-47,1.333656077621825470e-31,complex_unstable
12,5,7.361560611754158653e-07,-2.814294386085775703e-05,1.472312122350831649e-02,-5.628588772171551069e-01,2.961311368614051244e-47,1.333656077621825470e-31,complex_damped
12,6,-9.003003060386713434e-06,0.000000000000000000e+00,-1.800600612077342677e-01,0.000000000000000000e+00,1.197398590121303649e-48,5.392603844284260389e-33,real_negative
12,7,8.433690321538607257e-06,0.000000000000000000e+00,1.686738064307721496e-01,0.000000000000000000e+00,5.131708243377015641e-49,2.311115933264683024e-33,real_positive
13,0,1.501759241816271514e-03,0.000000000000000000e+00,3.003518483632542768e+01,0.000000000000000000e+00,1.569696669799612952e-38,7.069283682764254517e-23,real_positive
13,1,-1.503200454934465642e-03,0.000000000000000000e+00,-3.006400909868931137e+01,0.000000000000000000e+00,1.153320336816949412e-38,5.194091815369743446e-23,real_negative
13,2,9.156368199243523985e-05,0.000000000000000000e+00,1.831273639848704615e+00,0.000000000000000000e+00,2.779504241554437571e-45,1.251777426653912541e-29,real_positive
13,3,-9.100632981492984535e-05,0.000000000000000000e+00,-1.820126596298596855e+00,0.000000000000000000e+00,4.055760081682301361e-46,1.826551959256833113e-30,real_negative
13,4,7.204141900441989559e-07,2.814951415320422854e-05,1.440828380088397809e-02,5.629902830640844957e-01,1.019054769982175048e-47,4.589414682361850060e-32,complex_unstable
13,5,7.204141900441989559e-07,-2.814951415320422854e-05,1.440828380088397809e-02,-5.629902830640844957e-01,1.019054769982175048e-47,4.589414682361850060e-32,complex_damped
13,6,-8.996804764901526717e-06,0.000000000000000000e+00,-1.799360952980305350e-01,0.000000000000000000e+00,1.197398590121303649e-48,5.392603844284260389e-33,real_negative
13,7,8.439837325501684743e-06,0.000000000000000000e+00,1.687967465100336795e-01,0.000000000000000000e+00,6.842277657836020854e-49,3.081487911019577365e-33,real_positive
14,0,1.578184942136349675e-03,0.000000000000000000e+00,3.156369884272699267e+01,0.000000000000000000e+00,4.146980390229800398e-38,1.867633284099488932e-22,real_positive
14,1,-1.579590290117165391e-03,0.000000000000000000e+00,-3.159180580234330549e+01,0.000000000000000000e+00,4.173369084580108473e-38,1.879517687284359687e-22,real_negative
14,2,9.155653170108156219e-05,0.000000000000000000e+00,1.831130634021631121e+00,0.000000000000000000e+00,2.519497690556668779e-45,1.134680886035168741e-29,real_positive
14,3,-9.101320651372040815e-05,0.000000000000000000e+00,-1.820264130274408032e+00,0.000000000000000000e+00,1.417377816820731720e-45,6.383302207676970433e-30,real_negative
14,4,7.024957951395403569e-07,2.815529310014686914e-05,1.404991590279080702e-02,5.631058620029373296e-01,3.429641019726443566e-47,1.544573001845457479e-31,complex_unstable
14,5,7.024957951395403569e-07,-2.815529310014686914e-05,1.404991590279080702e-02,-5.631058620029373296e-01,3.429641019726443566e-47,1.544573001845457479e-31,complex_damped
14,6,-8.989776857368849075e-06,0.000000000000000000e+00,-1.797955371473769770e-01,0.000000000000000000e+00,5.131708243377015641e-49,2.311115933264683024e-33,real_negative
14,7,8.446808060544284076e-06,0.000000000000000000e+00,1.689361612108856714e-01,0.000000000000000000e+00,6.842277657836020854e-49,3.081487911019577365e-33,real_positive
15,0,1.656351982235197825e-03,0.000000000000000000e+00,3.312703964470395590e+01,0.000000000000000000e+00,6.268864387235451643e-38,2.823244085995210253e-22,real_positive
15,1,-1.657718915206345687e-03,0.000000000000000000e+00,-3.315437830412691511e+01,0.000000000000000000e+00,8.101570006157418244e-38,3.648620886736547162e-22,real_negative
15,2,9.154889607199119636e-05,0.000000000000000000e+00,1.830977921439823852e+00,0.000000000000000000e+00,1.937219861874823404e-45,8.724462648074050896e-30,real_positive
15,3,-9.102055779681964454e-05,0.000000000000000000e+00,-1.820411155936392911e+00,0.000000000000000000e+00,1.848099195381509233e-45,8.323098847663757951e-30,real_negative
15,4,6.833026412433881764e-07,2.816037586382979073e-05,1.366605282486776235e-02,5.632075172765957927e-01,6.436119714276678396e-47,2.898570634692834763e-31,complex_unstable
