m,root_index,real_omega,imag_omega,real_omega_over_Omega,imag_omega_over_Omega,abs_residual,normalized_residual,root_class
15,5,6.833026412433881764e-07,-2.816037586382979073e-05,1.366605282486776235e-02,-5.632075172765957927e-01,6.436119714276678396e-47,2.898570634692834763e-31,complex_damped
15,6,-8.982267886306548142e-06,0.000000000000000000e+00,-1.796453577261309664e-01,0.000000000000000000e+00,3.421138828918010427e-49,1.540743955509788682e-33,real_negative
15,7,8.454257299796493771e-06,0.000000000000000000e+00,1.690851459959298586e-01,0.000000000000000000e+00,6.842277657836020854e-49,3.081487911019577365e-33,real_positive
16,0,1.736024824785138265e-03,0.000000000000000000e+00,3.472049649570276131e+01,0.000000000000000000e+00,5.440193048736779653e-38,2.450043312130648335e-22,real_positive
16,1,-1.737352101660562080e-03,0.000000000000000000e+00,-3.474704203321123686e+01,0.000000000000000000e+00,7.899769928694881836e-38,3.557737424102273590e-22,real_negative
16,2,9.154103191556006215e-05,0.000000000000000000e+00,1.830820638311201121e+00,0.000000000000000000e+00,3.634960005725386079e-46,1.637040452729123850e-30,real_positive
16,3,-9.102813744997854657e-05,0.000000000000000000e+00,-1.820562748999570823e+00,0.000000000000000000e+00,1.592198010978442053e-45,7.170622368942443023e-30,real_negative
16,4,6.634885507626403565e-07,2.816485083541630225e-05,1.326977101525280735e-02,5.632970167083259927e-01,1.959946070742251417e-47,8.826812393861069086e-32,complex_unstable
16,5,6.634885507626403565e-07,-2.816485083541630225e-05,1.326977101525280735e-02,-5.632970167083259927e-01,1.959946070742251417e-47,8.826812393861069086e-32,complex_damped
16,6,-8.974529944415508197e-06,0.000000000000000000e+00,-1.794905988883101489e-01,0.000000000000000000e+00,5.131708243377015641e-49,2.311115933264683024e-33,real_negative
16,7,8.461935252732381754e-06,0.000000000000000000e+00,1.692387050546476368e-01,0.000000000000000000e+00,6.842277657836020854e-49,3.081487911019577365e-33,real_positive
17,0,1.817005134261898049e-03,0.000000000000000000e+00,3.634010268523795872e+01,0.000000000000000000e+00,7.373777354079005767e-38,3.320850529931895606e-22,real_positive
17,1,-1.818292447254749294e-03,0.000000000000000000e+00,-3.636584894509498156e+01,0.000000000000000000e+00,6.021753342933398470e-38,2.711953685764891677e-22,real_negative
17,2,9.153312161142759926e-05,0.000000000000000000e+00,1.830662432228551850e+00,0.000000000000000000e+00,1.425930663893026746e-45,6.421820806564685723e-30,real_positive
17,3,-9.103577008852286917e-05,0.000000000000000000e+00,-1.820715401770457209e+00,0.000000000000000000e+00,2.049262158521888246e-45,9.229056293503474460e-30,real_negative
17,4,6.435198308089101119e-07,2.816879752876778022e-05,1.287039661617820144e-02,5.633759505753556107e-01,5.715300466644782289e-47,2.573942505189185904e-31,complex_unstable
17,5,6.435198308089101119e-07,-2.816879752876778022e-05,1.287039661617820144e-02,-5.633759505753556107e-01,5.715300466644782289e-47,2.573942505189185904e-31,complex_damped
17,6,-8.966742337679531972e-06,0.000000000000000000e+00,-1.793348467535906265e-01,0.000000000000000000e+00,7.868619306511423982e-48,3.543711097672513970e-32,real_negative
17,7,8.469664146008418394e-06,0.000000000000000000e+00,1.693932829201683643e-01,0.000000000000000000e+00,6.842277657836020854e-49,3.081487911019577365e-33,real_positive
18,0,1.899125453371147904e-03,0.000000000000000000e+00,3.798250906742295285e+01,0.000000000000000000e+00,2.249840481024053221e-38,1.013236526627573614e-22,real_positive
18,1,-1.900373148092845835e-03,0.000000000000000000e+00,-3.800746296185691619e+01,0.000000000000000000e+00,1.047200418078271592e-37,4.716164171542799648e-22,real_negative
18,2,9.152529220590444037e-05,0.000000000000000000e+00,1.830505844118088810e+00,0.000000000000000000e+00,4.899070803010590932e-46,2.206345344289974654e-30,real_positive
18,3,-9.104333304772808380e-05,0.000000000000000000e+00,-1.820866660954561622e+00,0.000000000000000000e+00,4.815595015584991477e-45,2.168751191775537631e-29,real_negative
18,4,6.237229975732601942e-07,2.817228605526490146e-05,1.247445995146520374e-02,5.634457211052980030e-01,2.707364529206958225e-47,1.219288588489255321e-31,complex_unstable
18,5,6.237229975732601942e-07,-2.817228605526490146e-05,1.247445995146520374e-02,-5.634457211052980030e-01,2.707364529206958225e-47,1.219288588489255321e-31,complex_damped
18,6,-8.959030224080156057e-06,0.000000000000000000e+00,-1.791806044816031118e-01,0.000000000000000000e+00,3.079024946026209384e-48,1.386669559958809814e-32,real_negative
18,7,8.477319792454633007e-06,0.000000000000000000e+00,1.695463958490926459e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,real_positive
19,0,1.982243935414247215e-03,0.000000000000000000e+00,3.964487870828494209e+01,0.000000000000000000e+00,9.363514322496503496e-39,4.216942884210000173e-23,real_positive
19,1,-1.983452804465521673e-03,0.000000000000000000e+00,-3.966905608931043048e+01,0.000000000000000000e+00,5.330647359983814532e-38,2.400704956695801704e-22,real_negative
19,2,9.151763006113577677e-05,0.000000000000000000e+00,1.830352601222715370e+00,0.000000000000000000e+00,4.752303947250008284e-45,2.140247428598602337e-29,real_positive
19,3,-9.105074249915920642e-05,0.000000000000000000e+00,-1.821014849983183970e+00,0.000000000000000000e+00,7.528215993034081945e-45,3.390407074099220491e-29,real_negative
19,4,6.043214696869656730e-07,2.817537745869752128e-05,1.208642939373931295e-02,5.635075491739504061e-01,4.549760939548772150e-47,2.049030167197668365e-31,complex_unstable
19,5,6.043214696869656730e-07,-2.817537745869752128e-05,1.208642939373931295e-02,-5.635075491739504061e-01,4.549760939548772150e-47,2.049030167197668365e-31,complex_damped
19,6,-8.951478908511698439e-06,0.000000000000000000e+00,-1.790295781702339606e-01,0.000000000000000000e+00,3.421138828918010427e-49,1.540743955509788682e-33,real_negative
19,7,8.484817458435432608e-06,0.000000000000000000e+00,1.696963491687086545e-01,0.000000000000000000e+00,1.710569414459005214e-48,7.703719777548943412e-33,real_positive
20,0,2.066239991844974738e-03,0.000000000000000000e+00,4.132479983689949421e+01,0.000000000000000000e+00,4.644365311910468948e-37,2.091629914864396893e-21,real_positive
20,1,-2.067411123924783531e-03,0.000000000000000000e+00,-4.134822247849567134e+01,0.000000000000000000e+00,3.421756668225839786e-37,1.541017564881073207e-21,real_negative
20,2,9.151019189374397385e-05,0.000000000000000000e+00,1.830203837874879280e+00,0.000000000000000000e+00,5.882306102441627128e-45,2.649155157103470125e-29,real_positive
20,3,-9.105794298347618158e-05,0.000000000000000000e+00,-1.821158859669523622e+00,0.000000000000000000e+00,1.917890427491436645e-45,8.637410614587683376e-30,real_negative
20,4,5.854632889044820755e-07,2.817812447088766139e-05,1.170926577808964128e-02,5.635624894177532207e-01,1.318914466726451432e-47,5.939862700882802021e-32,complex_unstable
20,5,5.854632889044820755e-07,-2.817812447088766139e-05,1.170926577808964128e-02,-5.635624894177532207e-01,1.318914466726451432e-47,5.939862700882802021e-32,complex_damped
20,6,-8.944144618412632432e-06,0.000000000000000000e+00,-1.788828923682526384e-01,0.000000000000000000e+00,2.736911063134408342e-48,1.232595164407830946e-32,real_negative
20,7,8.492101210145473167e-06,0.000000000000000000e+00,1.698420242029094474e-01,0.000000000000000000e+00,3.421138828918010427e-49,1.540743955509788682e-33,real_positive
21,0,2.151010712086848329e-03,0.000000000000000000e+00,4.302021424173696573e+01,0.000000000000000000e+00,1.436427417566198714e-37,6.469067220704263158e-22,real_positive
21,1,-2.152145382549950758e-03,0.000000000000000000e+00,-4.304290765099901250e+01,0.000000000000000000e+00,7.179123836742173264e-38,3.233176518878176204e-22,real_negative
21,2,9.150301299432235524e-05,0.000000000000000000e+00,1.830060259886447049e+00,0.000000000000000000e+00,7.868619306511423982e-47,3.543711097672426826e-31,real_positive
21,3,-9.106489960664507146e-05,0.000000000000000000e+00,-1.821297992132901333e+00,0.000000000000000000e+00,4.413269089304233451e-47,1.987559702607579231e-31,real_negative
21,4,5.672418176727087121e-07,2.818057243136184789e-05,1.134483635345417442e-02,5.636114486272368884e-01,7.481214006164288768e-47,3.369239261044041770e-31,complex_unstable
